,0
num__MonthlyIncome,0.07676085216976997
num__Age,0.061697925688031036
num__TotalWorkingYears,0.05619205610748482
num__DailyRate,0.05383522071214829
num__HourlyRate,0.04570322618261663
num__MonthlyRate,0.044012591523443695
num__DistanceFromHome,0.042017371532627995
num__YearsAtCompany,0.03754263453203027
num__YearsWithCurrManager,0.03579942308570967
num__NumCompaniesWorked,0.03464397438345
num__PercentSalaryHike,0.03211876072965082
num__EnvironmentSatisfaction,0.028492078439391198
cat__OverTime_No,0.026554493976707408
num__WorkLifeBalance,0.026083310027327937
cat__OverTime_Yes,0.025580875782653063
num__YearsInCurrentRole,0.024424885721300985
num__JobSatisfaction,0.02412523961290211
num__JobInvolvement,0.023708626616459255
num__StockOptionLevel,0.023545215198691113
num__TrainingTimesLastYear,0.02323116041374023
num__RelationshipSatisfaction,0.023145581507153
num__YearsSinceLastPromotion,0.021475427802718213
num__JobLevel,0.019539806011012434
num__Education,0.018990797402366994
cat__MaritalStatus_Single,0.014709329866149912
cat__BusinessTravel_Travel_Frequently,0.013557069783742479
cat__JobRole_Laboratory Technician,0.01100305798708738
cat__Department_Sales,0.009618663830366777
cat__MaritalStatus_Married,0.009026851374263399
cat__JobRole_Research Scientist,0.008526283229041351
cat__Gender_Male,0.007631697275804117
cat__Department_Research & Development,0.007511364076500616
cat__EducationField_Medical,0.007258258894128808
cat__JobRole_Sales Executive,0.007166884924654825
cat__BusinessTravel_Travel_Rarely,0.007079573505481373
cat__EducationField_Life Sciences,0.00696669240965587
cat__MaritalStatus_Divorced,0.00679803389765688
cat__EducationField_Marketing,0.00678232293464888
cat__JobRole_Sales Representative,0.00653385862041469
cat__EducationField_Technical Degree,0.006463820805823311
cat__Gender_Female,0.006351795305381137
num__PerformanceRating,0.005726050417391496
cat__BusinessTravel_Non-Travel,0.00436745165725204
cat__EducationField_Human Resources,0.003188363116070587
cat__JobRole_Healthcare Representative,0.002460953734285038
cat__JobRole_Human Resources,0.002451453456624721
cat__EducationField_Other,0.0024317336744035744
cat__JobRole_Manufacturing Director,0.002391886126187745
cat__Department_Human Resources,0.002289176481557456
cat__JobRole_Manager,0.0018485011583910089
cat__JobRole_Research Director,0.0006373362976473452
